user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
84908294,0,0,1
84925352,0,0,3
85046830,0,0,5
85210874,0,0,13
85366890,0,0,18
85426082,0,0,2
85458882,0,0,16
85497862,0,0,13
85518568,0,0,2
85643975,0,0,1
85673716,0,0,6
85714521,0,1,2
85759872,0,0,2
85935348,0,0,4
85959768,0,0,6
86016715,0,0,1
86041729,0,0,26
86055705,0,0,48
86168617,0,0,1
86182317,0,0,8
86256882,0,0,13
86287245,0,0,5
86332470,0,0,4
86338111,0,0,13
86355338,0,0,1
86433707,0,0,4
86466985,0,0,2
86469479,0,0,105
86481908,0,0,25
86499586,0,0,4
86502662,0,0,1
86612326,0,0,1
86686260,0,0,2
86732465,0,0,5
86733992,0,0,6
86738567,0,0,6
86779448,0,0,1
86866292,0,0,2
86912006,0,0,68
87040683,0,1,6
87059822,0,0,1
87071236,0,0,12
87162199,0,0,1
87201181,0,0,15
87273930,0,0,1
87341384,0,0,17
87548320,0,1,4
87601770,0,0,1
87694960,0,0,56
87734805,0,0,53
87740709,0,0,4
87821312,0,0,1
87832209,0,0,8
87907200,0,0,7
87938922,0,0,1
88035166,0,0,27
88152309,0,0,3
88199811,0,0,3
88248085,0,0,3
88271258,0,0,2
88296152,0,0,1
88344296,0,0,7
88352678,0,0,2
88410966,0,0,2
88525821,0,0,24
88544184,0,0,1
88579585,0,0,62
88603472,0,0,5
88659639,0,0,3
88705345,0,0,3
88775181,0,0,10
88883891,0,0,10
88921433,0,0,1
89005236,0,0,6
89226643,0,0,2
89229462,0,0,1
89286594,0,0,1
89523414,0,0,12
89531096,0,0,1
89559973,0,0,1
89691468,0,0,7
89732768,0,0,10
89946150,0,0,1
90033155,0,0,9
90037349,0,0,1
90104676,0,0,2
90117736,0,0,2
90154893,0,0,1
90272527,0,0,24
90302081,0,0,1
90532259,0,0,1
90541290,0,0,3
90571509,0,0,1
90672622,0,0,2
90711776,0,0,5
90786657,0,0,1
90857581,0,0,1
91020997,0,0,1
91085389,0,0,3
91293844,0,0,8
91627755,0,0,1
91687359,0,0,2
91690667,0,0,23
91729217,0,0,2
91736333,0,0,1
91807066,0,0,9
91828380,0,0,2
91859894,0,0,15
91881892,0,0,1
91883012,0,0,1
91895208,0,0,1
91900241,0,0,1
91952768,0,0,2
92010366,0,0,2
92025878,0,0,1
92107940,0,0,1
92123735,0,0,1
92276000,0,0,10
92393218,0,0,23
92412666,0,0,1
92436417,0,0,8
92482012,0,0,1
92484390,0,0,3
92503355,0,0,6
92593907,0,0,31
92595907,0,0,5
92600849,0,0,1
92612763,0,0,20
92663477,0,0,13
92842632,0,0,1
92843672,0,0,1
92914917,0,0,40
92929791,0,0,1
92940732,0,0,2
92958887,0,0,4
92965596,0,0,3
93030550,0,0,4
93034535,0,0,1
93108463,0,0,2
93126933,0,0,1
93189271,0,0,9
93259090,0,0,2
93275329,0,0,22
93290614,0,0,1
93300963,0,0,10
93341815,0,0,6
93413084,0,0,3
93478035,0,1,3
93644606,0,0,15
93882483,0,0,2
93963263,0,0,1
94019469,0,0,1
94088853,0,0,8
94110492,0,0,18
94120095,0,0,4
94142618,0,0,2
94161846,0,0,3
94195027,0,0,3
