app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
41310,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41400,True,Doom Rails,game,0,windows,NA,2:1,Single-player:Multi-player,1:23,Action:Indie,NA
41500,True,Torchlight,game,0,windows:mac,83,2:22:23:17,Single-player:Steam Achievements:Steam Cloud:Includes level editor,3,RPG,3641
41509,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41510,True,Torchlight Demo,demo,0,windows:mac,83,2:10,Single-player:Game demo,3,RPG,NA
41520,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41600,True,Earthworm Jim 3D,game,0,windows,NA,2,Single-player,1:25,Action:Adventure,NA
41610,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41660,True,Tommy Tronic,game,0,windows,NA,2,Single-player,1:25:23,Action:Adventure:Indie,NA
41670,True,Tommy Tronic Demo,demo,0,windows,NA,2:10,Single-player:Game demo,1:25,Action:Adventure,NA
41680,True,Death and the Fly,game,0,windows,NA,2,Single-player,23,Indie,NA
41690,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41700,True,S.T.A.L.K.E.R.: Call of Pripyat,game,0,windows,80,2:1:49:36:47:23,Single-player:Multi-player:PvP:Online PvP:LAN PvP:Steam Cloud,1:3,Action:RPG,11985
41710,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41720,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41730,True,Ion Assault,game,0,windows,62,2:22:29:18:23:15:25,Single-player:Steam Achievements:Steam Trading Cards:Partial Controller Support:Steam Cloud:Stats:Steam Leaderboards,1:4:23,Action:Casual:Indie,NA
41740,True,Cargo! The Quest for Gravity,game,0,windows,NA,2:22:25,Single-player:Steam Achievements:Steam Leaderboards,1:25:28,Action:Adventure:Simulation,256
41760,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41800,True,Gratuitous Space Battles,game,0,windows:mac:linux,72,2:1:29,Single-player:Multi-player:Steam Trading Cards,23:28:2,Indie:Simulation:Strategy,432
41802,True,Gratuitous Space Battles: The Tribe,dlc,0,windows:mac,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41803,True,Gratuitous Space Battles: The Order,dlc,0,windows:mac,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
