game_title,hours
Big Pharma,28.4
Binary Domain,34.300000000000004
Bio Menace,0.0
BioShock,1089.2
BioShock 2,496.8
BioShock Infinite,3689.1000000000004
BioShock Infinite - Season Pass,0.0
BioShock Infinite Burial at Sea - Episode 1,0.0
BioShock Infinite Burial at Sea - Episode 2,0.0
Biology Battle,0.0
Bionic Commando,1.2
Bionic Commando Rearmed,1.1
Bionic Dues,10.799999999999999
Bird Assassin,0.0
Birth Of America,0.0
Bit Odyssey,0.0
Bitweb,0.0
Black Fire,2.9
Black Ice,1.1
Black Ink,239.3
Black Mesa,137.3
Black Mirror,1.6
Black Mirror II,0.0
Black Sails,1.8
Black Viper Sophia's Fate,0.2
BlackShadows,0.0
Blackguards,237.79999999999998
Blackguards 2,83.5
Blackguards Untold Legends,0.0
Blacklight Retribution,1261.1999999999998
Blacklight Tango Down,1.7999999999999998
Blackwell Convergence,0.3
Blackwell Deception,0.0
Blackwell Epiphany,0.0
Blackwell Unbound,0.0
Blade Kitten,0.0
Blade Symphony,133.39999999999998
Blades of Time,48.7
Blake Stone Aliens of Gold,0.0
Blake Stone Planet Strike,0.0
Blast Em!,0.0
Blast Em! Source Code,0.0
BlastZone 2,0.0
Blaster Shooter GunGuy!,5.4
BlazBlue Calamity Trigger,6.1
BlazBlue Continuum Shift Extend,233.8
BlazeRush,0.1
Blazing Angels 2 Secret Missions of WWII,18.8
Blazing Angels Squadrons of WWII,7.6
Bleed,11.6
Blender 2.76b,15.899999999999999
Blitzkrieg 2 Anthology,21.8
Blitzkrieg Anthology,8.5
Blob From Space,5.8
Blob From Space - Please Don't Stop The Music,0.0
Block N Load,259.1
Block Story,15.7
Blockland,29.4
Blocks That Matter,33.199999999999996
Blockscape,0.5
Blockstorm,10.1
Blood & Gold Caribbean!,0.0
Blood Bowl 2,247.70000000000002
Blood Bowl 2 - Lizardmen,0.0
Blood Bowl 2 - Wood Elves,0.0
Blood Bowl Chaos Edition,1222.2
Blood Bowl Dark Elves Edition,13.9
Blood Bowl Legendary Edition,469.4
Blood Knights,5.0
Blood Omen 2 Legacy of Kain,2.9
Blood One Unit Whole Blood,3.5
Blood of Old,15.1
Blood of the Werewolf,0.5
BloodLust Shadowhunter,0.3
BloodRayne,6.6
BloodRayne 2,5.8
BloodRayne Betrayal,3.3000000000000003
BloodRealm Battlegrounds,4.8999999999999995
Bloodbath Kavkaz,4.9
Bloodline Champions,290.5
Bloodsports.TV,0.0
Bloodsports.TV - Blood Brawl,0.0
Bloodwood Reload,0.2
Bloody Good Time,28.6
Bloody Trapland,18.3
Bloons TD5,169.6
Bloop,0.0
Blue Estate Digital Comic,0.0
Blue Rose,3.2
Blue Toad Murder Files - The Mysteries of Little Riddle,0.0
Blur,50.0
Bob Came in Pieces,2.3
Bob Was Hungry,13.0
Boid,8.9
Bone Out from Boneville,0.0
Bone The Great Cow Race,0.0
Boo Bunny Plague,2.3
BookWorm Adventures Volume 2,120.5
BookWorm Deluxe,13.8
Bookworm Adventures Deluxe,74.9
Booster Trooper,2.1
Borderlands,4742.799999999999
Borderlands 2,22667.9
Borderlands 2 Headhunter 1 Bloody Harvest,0.0
Borderlands 2 Headhunter 2 Wattle Gobbler,0.0
Borderlands 2 Headhunter 3 Mercenary Day,0.0
Borderlands 2 Headhunter 4 Wedding Day Massacre,0.0
Borderlands 2 Headhunter 5 Son of Crawmerax,0.0
Borderlands 2 RU,961.3
Borderlands DLC Claptraps New Robot Revolution,0.0
Borderlands DLC Mad Moxxi's Underdome Riot,0.0
Borderlands DLC The Secret Armory of General Knoxx,0.0
Borderlands DLC The Zombie Island of Dr. Ned,0.0
Borderlands The Pre-Sequel,2852.1000000000004
Borderless Gaming,13.1
Borealis,7.300000000000001
Boring Man - Online Tactical Stickman Combat,76.4
Boson X,28.2
Botanicula,49.3
Bound By Flame,85.7
Braid,115.50000000000001
Brawl Busters,0.0
Brawlhalla,458.59999999999997
Breach,12.8
Breach & Clear,7.6
Breach & Clear Deadline,0.0
Break Into Zatwor,5.0
Break the Cube,0.0
Breath of Death VII ,8.1
Breezeblox,48.0
Brick-Force,50.400000000000006
Brick-Force (US),0.0
Bridge Constructor,21.1
Bridge Constructor Medieval,1.7
Bridge Constructor Playground,0.0
Bridge It (plus),2.6
Bridge Project,10.200000000000001
Brilliant Bob,27.799999999999997
Brink of Consciousness Dorian Gray Syndrome,0.0
Brink of Consciousness The Lonely Hearts Murders,0.0
Broforce,688.4
Broken Age,157.3
Broken Sword 1 - Shadow of the Templars Director's Cut,27.200000000000003
Broken Sword 2 - the Smoking Mirror Remastered,5.7
Broken Sword 3 - the Sleeping Dragon,0.4
Broken Sword 4 - the Angel of Death,21.0
Broken Sword 5 - the Serpent's Curse,85.80000000000001
Brothers - A Tale of Two Sons,95.6
Brothers in Arms Earned in Blood,0.0
Brothers in Arms Hell's Highway,22.199999999999996
Brothers in Arms Road to Hill 30,16.5
Brtal Legend,218.29999999999995
Buccaneer The Pursuit of Infamy,7.2
Build-A-Lot,8.9
Build-A-Lot 2,5.2
Build-A-Lot 3,0.0
Build-A-Lot 4,97.0
Bullet Candy,0.0
Bullet Heaven 2,5.3
Bullet Heaven 2 - Soundtrack,0.0
Bullet Run,0.0
Bulletstorm,299.8
Bully Scholarship Edition,235.20000000000002
Bumbledore,0.0
Bunch Of Heroes,8.0
Burgers,16.6
Burn Zombie Burn,5.4
Burnout Paradise The Ultimate Box,475.7
Burstfire,3.3000000000000003
Bus Driver,1.3000000000000003
Bus-Simulator 2012,3.2
Butsbal,0.0
Buzz Aldrin's Space Program Manager,4.5
C-RUSH,0.0
C9,2.7
CAFE 0 ~The Drowned Mermaid~,3.0
CAFE 0 ~The Drowned Mermaid~ - Japanese Voice Add-On,0.0
CID The Dummy,4.4
COH2 - The Western Front Armies Oberkommando West,0.0
COH2 - The Western Front Armies US Forces,0.0
CONSORTIUM,0.0
CRYENGINE,0.1
CRYPTARK,0.7
CSGO Player Profiles,0.0
CSGO Player Profiles - Device,0.0
CSGO Player Profiles - Edward,0.0
CSGO Player Profiles - Fallen,0.0
CSGO Player Profiles - Get_Right,0.0
CSGO Player Profiles - KennyS,0.0
CSGO Player Profiles - Markeloff,0.0
CSGO Player Profiles - N0thing,0.0
CSGO Player Profiles - Olofmeister,0.0
CSGO Player Profiles - Taz,0.0
CT Special Forces Fire for Effect,0.0
Cabela's African Adventures,0.7
Cabela's Big Game Hunter Pro Hunts,20.1
Cabela's Dangerous Hunts 2013,0.8
Cabela's Hunting Expeditions,3.5
Cabelas Trophy Bucks,3.4
CaesarIA,1.8
Cakewalk Loop Manager,0.0
Cakewalk Sound Center,0.0
Calibre 10 Racing Series,0.0
Call of Cthulhu Dark Corners of the Earth,48.8
Call of Duty,8.899999999999999
Call of Duty 2,41.50000000000001
Call of Duty 4 Modern Warfare,1223.7999999999997
Call of Duty Advanced Warfare,535.1
Call of Duty Advanced Warfare - Multiplayer,3096.3999999999996
Call of Duty Black Ops,3876.0
Call of Duty Black Ops - Multiplayer,17144.5
