app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
12710,8,Very Positive,471,39,510
12750,8,Very Positive,964,151,1115
12770,6,Mostly Positive,87,34,121
12790,5,Mixed,51,55,106
12800,8,Very Positive,75,6,81
12810,8,Very Positive,946,193,1139
12830,5,Mixed,364,225,589
12840,8,Very Positive,244,13,257
12860,0,2 user reviews,2,0,2
12900,9,Overwhelmingly Positive,5176,235,5411
13000,7,Positive,34,3,37
13140,0,7 user reviews,3,4,7
13200,5,Mixed,131,65,196
13210,8,Very Positive,926,148,1074
13230,9,Overwhelmingly Positive,1574,44,1618
13240,9,Overwhelmingly Positive,1570,46,1616
13250,8,Very Positive,579,36,615
13500,8,Very Positive,404,90,494
13510,5,Mixed,51,29,80
13520,6,Mostly Positive,1653,465,2118
13530,6,Mostly Positive,234,89,323
13540,6,Mostly Positive,259,81,340
13560,8,Very Positive,727,110,837
13570,8,Very Positive,1547,124,1671
13580,4,Mostly Negative,182,370,552
13600,8,Very Positive,627,116,743
13620,7,Positive,35,2,37
13630,7,Positive,36,4,40
13640,5,Mixed,29,31,60
13700,7,Positive,10,2,12
15000,5,Mixed,64,60,124
15060,0,2 user reviews,2,0,2
15080,6,Mostly Positive,175,46,221
15100,8,Very Positive,3124,756,3880
15120,8,Very Positive,1840,296,2136
15130,8,Very Positive,1045,190,1235
15140,0,4 user reviews,1,3,4
15150,7,Positive,37,8,45
15160,5,Mixed,34,16,50
15170,8,Very Positive,557,110,667
15190,8,Very Positive,421,79,500
15200,6,Mostly Positive,258,105,363
15210,8,Very Positive,660,118,778
15220,5,Mixed,10,12,22
15240,8,Very Positive,84,14,98
15260,0,2 user reviews,2,0,2
15270,8,Very Positive,167,35,202
15290,0,2 user reviews,1,1,2
15300,8,Very Positive,499,27,526
15310,6,Mostly Positive,55,22,77
15320,8,Very Positive,970,110,1080
15350,0,5 user reviews,3,2,5
15370,8,Very Positive,368,33,401
15380,8,Very Positive,44,10,54
15390,8,Very Positive,572,72,644
15400,6,Mostly Positive,61,17,78
15500,6,Mostly Positive,284,91,375
15520,8,Very Positive,424,84,508
15522,0,4 user reviews,2,2,4
15540,4,Mostly Negative,111,289,400
15560,8,Very Positive,309,52,361
15620,8,Very Positive,2095,327,2422
15700,8,Very Positive,883,86,969
15710,9,Overwhelmingly Positive,547,22,569
15740,6,Mostly Positive,387,120,507
15750,8,Very Positive,650,103,753
15800,0,2 user reviews,1,1,2
15900,6,Mostly Positive,12,4,16
15910,0,8 user reviews,6,2,8
15920,3,Negative,2,10,12
15930,7,Positive,21,2,23
15940,0,2 user reviews,2,0,2
15960,5,Mixed,8,5,13
15970,5,Mixed,13,8,21
15990,0,5 user reviews,5,0,5
16000,0,5 user reviews,2,3,5
16020,0,7 user reviews,5,2,7
16030,7,Positive,10,1,11
16040,5,Mixed,8,5,13
16060,5,Mixed,7,6,13
16100,7,Positive,30,7,37
16110,7,Positive,19,2,21
16120,8,Very Positive,52,5,57
16130,7,Positive,36,5,41
16180,7,Positive,41,8,49
16200,6,Mostly Positive,20,6,26
16300,8,Very Positive,80,7,87
16450,8,Very Positive,1114,243,1357
16465,5,Mixed,45,22,67
16500,0,8 user reviews,6,2,8
16600,8,Very Positive,116,28,144
16620,5,Mixed,18,12,30
16700,8,Very Positive,90,5,95
16710,6,Mostly Positive,115,49,164
16720,5,Mixed,471,363,834
16730,5,Mixed,503,440,943
16810,8,Very Positive,343,60,403
16860,5,Mixed,13,10,23
16861,5,Mixed,15,7,22
16862,5,Mixed,15,11,26
16863,6,Mostly Positive,14,4,18
16866,7,Positive,21,5,26
16867,7,Positive,29,6,35
16868,8,Very Positive,48,5,53
16870,8,Very Positive,157,19,176
16900,8,Very Positive,1002,167,1169
17020,6,Mostly Positive,207,66,273
17080,5,Mixed,24,17,41
17095,7,Positive,11,0,11
17097,5,Mixed,6,9,15
